,seed_45,seed_45,seed_359,seed_359,seed_6185,seed_6185
,x_index,y_value,x_index,y_value,x_index,y_value
iteration,,,,,,
0,7,0.0,72,0.619629,52,0.225159
1,90,0.581536,10,0.368919,44,0.595148
2,52,0.225159,77,0.606331,70,0.231671
3,47,0.0,5,0.506045,0,0.13848
4,87,0.218576,97,0.394429,10,0.368919
5,55,0.420117,70,0.231671,94,0.0
6,11,0.339554,6,0.521209,66,0.0
7,4,0.444846,47,0.0,82,0.05735
8,70,0.231671,9,0.142527,50,0.0
9,54,0.0,80,0.47378,6,0.521209
10,84,0.397736,0,0.13848,42,0.68768
11,81,0.544579,65,0.557771,2,0.23795
12,92,0.665694,62,0.6771,21,0.904846
13,96,0.641716,45,0.456972,19,0.869142
14,95,0.649364,67,0.558344,43,0.681477
15,89,0.528122,74,0.658964,20,0.899917
16,74,0.658964,75,0.644678,13,0.936549
17,73,0.687847,69,0.655095,58,0.829756
18,76,0.645276,78,0.590437,15,0.92212
19,75,0.644678,71,0.669569,14,0.901296
20,71,0.669569,73,0.687847,18,0.932613
21,80,0.47378,68,0.553297,16,0.88388
22,78,0.590437,76,0.645276,22,0.820774
23,20,0.899917,54,0.0,3,0.529015
24,50,0.0,61,0.0,23,0.87748
25,18,0.932613,63,0.673479,17,0.902128
26,58,0.829756,49,0.368797,24,0.857797
27,43,0.681477,64,0.427846,54,0.0
28,21,0.904846,89,0.528122,25,0.832971
29,13,0.936549,52,0.225159,8,0.0
