,seed_45,seed_45,seed_359,seed_359,seed_6185,seed_6185
,x_index,y_value,x_index,y_value,x_index,y_value
iteration,,,,,,
0,65,0.557771,49,0.368797,66,0.0
1,66,0.0,79,0.0,50,0.0
2,89,0.528122,98,0.0,82,0.05735
3,53,0.0,66,0.0,48,0.276438
4,10,0.368919,50,0.0,61,0.0
5,87,0.218576,87,0.218576,98,0.0
6,85,0.0,66,0.0,66,0.0
7,68,0.553297,11,0.339554,49,0.368797
8,66,0.0,49,0.368797,65,0.557771
9,78,0.590437,66,0.0,66,0.0
10,2,0.23795,52,0.225159,86,0.638409
11,4,0.444846,48,0.276438,1,0.55386
12,84,0.397736,5,0.506045,91,0.625649
13,74,0.658964,4,0.444846,80,0.47378
14,75,0.644678,6,0.521209,51,0.246653
15,76,0.645276,59,0.65301,71,0.669569
16,73,0.687847,62,0.6771,90,0.581536
17,71,0.669569,65,0.557771,76,0.645276
18,46,0.0,63,0.673479,89,0.528122
19,80,0.47378,75,0.644678,69,0.655095
20,69,0.655095,72,0.619629,4,0.444846
21,62,0.6771,69,0.655095,68,0.553297
22,49,0.368797,70,0.231671,73,0.687847
23,94,0.0,74,0.658964,74,0.658964
24,72,0.619629,96,0.641716,64,0.427846
25,52,0.225159,73,0.687847,88,0.64553
26,96,0.641716,76,0.645276,60,0.624609
27,95,0.649364,43,0.681477,63,0.673479
28,92,0.665694,51,0.246653,3,0.529015
29,91,0.625649,68,0.553297,43,0.681477
30,90,0.581536,41,0.696129,45,0.456972
31,98,0.0,30,0.691636,19,0.869142
32,50,0.0,60,0.624609,17,0.902128
33,8,0.0,92,0.665694,18,0.932613
34,63,0.673479,97,0.394429,16,0.88388
35,51,0.246653,18,0.932613,15,0.92212
36,93,0.0,19,0.869142,14,0.901296
37,59,0.65301,58,0.829756,13,0.936549
38,41,0.696129,17,0.902128,6,0.521209
39,30,0.691636,16,0.88388,58,0.829756
