,seed_45,seed_45,seed_359,seed_359,seed_6185,seed_6185
,x_index,y_value,x_index,y_value,x_index,y_value
iteration,,,,,,
0,126,63.81,44,153.3649441,132,7.2
1,122,41.89833748,7,8.725,150,11.15
2,45,14.99,132,7.2,174,9.71
3,151,18.25,160,14.475000000000001,171,13.99
4,38,2.740952014,172,7.08,7,8.725
5,12,18.43,143,13.46,14,37.09
6,158,16.66,135,7.25,169,6.25
7,165,7.85,147,9.895,45,14.99
8,14,37.09,163,24.01,2,20.03
9,67,135.2652427,161,16.69,25,44.1
10,66,312.65,58,543.75,13,215.37
11,94,716.395,53,649.9485714285714,107,12.19
12,30,738.6628862,32,770.35,30,738.6628862
13,33,703.3133333333334,33,703.3133333333334,53,649.9485714285714
14,32,770.35,127,207.58,51,297.95
15,36,162.7067112,13,215.37,33,703.3133333333334
16,53,649.9485714285714,30,738.6628862,32,770.35
17,85,336.24,51,297.95,35,160.6199195
18,58,543.75,137,215.93,38,2.740952014
19,96,619.9000000000001,15,15.559999999999999,58,543.75
20,89,433.78,89,433.78,94,716.395
21,86,226.22,35,160.6199195,89,433.78
22,26,687.78,94,716.395,86,226.22
23,77,838.31,86,226.22,26,687.78
24,24,636.48,31,406.47,120,588.4649999999999
25,13,215.37,26,687.78,24,636.48
26,91,584.89,24,636.48,129,411.82
27,120,588.4649999999999,23,424.1973941,96,619.9000000000001
28,129,411.82,25,44.1,164,199.1
29,22,697.4,96,619.9000000000001,176,26.19
