,seed_45,seed_45,seed_359,seed_359,seed_6185,seed_6185
,x_index,y_value,x_index,y_value,x_index,y_value
iteration,,,,,,
0,11,34.35,59,117.42,10,13.25
1,11,34.35,6,17.89,99,117.30499999999999
2,107,12.19,132,7.2,133,7.58
3,12,18.43,43,26.57,6,17.89
4,8,7.96,43,26.57,6,17.89
5,59,117.42,107,12.19,62,14.855
6,11,34.35,59,117.42,117,11.44
7,112,76.51244504,8,7.96,59,117.42
8,11,34.35,59,117.42,11,34.35
9,99,117.30499999999999,12,18.43,43,26.57
10,21,405.26,99,117.30499999999999,16,258.435
11,19,328.33831735,16,258.435,101,214.21
12,20,398.5758253,101,214.21,19,328.33831735
13,23,424.1973941,149,29.81,20,398.5758253
14,29,419.51,30,738.6628862,47,325.42
15,41,281.68,33,703.3133333333334,75,356.76
16,22,697.4,53,649.9485714285714,26,687.78
17,24,636.48,32,770.35,150,11.15
18,26,687.78,58,543.75,24,636.48
19,39,214.93,85,336.24,46,240.44
20,27,219.255,26,687.78,22,697.4
21,96,619.9000000000001,28,390.2707837,29,419.51
22,93,625.33,24,636.48,32,770.35
23,91,584.89,37,696.39,30,738.6628862
24,84,750.9,45,14.99,33,703.3133333333334
25,78,540.19,22,697.4,53,649.9485714285714
26,90,484.36,15,15.559999999999999,37,696.39
27,88,618.72,70,286.105,45,14.99
28,94,716.395,27,219.255,66,312.65
29,115,302.25,29,419.51,77,838.31
30,89,433.78,66,312.65,81,348.88
31,86,226.22,20,398.5758253,70,286.105
32,67,135.2652427,39,214.93,28,390.2707837
33,105,554.41,50,200.7545831,85,336.24
34,37,696.39,19,328.33831735,71,259.11
35,74,318.1919743,77,838.31,60,249.755
36,92,608.87,81,348.88,58,543.75
37,65,283.21000000000004,71,259.11,89,433.78
38,68,339.0080085,35,160.6199195,83,325.56
39,53,649.9485714285714,94,716.395,13,215.37
