,seed_45,seed_45,seed_359,seed_359,seed_6185,seed_6185
,x_index,y_value,x_index,y_value,x_index,y_value
iteration,,,,,,
0,51,794499.0,3,948003.0,37,489903.5
1,49,437082.00000000006,74,548909.0,44,449878.0
2,76,286563.0,51,794499.0,66,1174748.5
3,2,1129496.0,67,819964.0,38,443643.0
4,37,489903.5,38,443643.0,52,701140.0
5,70,269180.0,66,1174748.5,51,794499.0
6,36,876981.0,58,263021.5,67,819964.0
7,58,263021.5,1,1290847.0,3,948003.0
8,1,1290847.0,38,443643.0,37,489903.5
9,44,449878.0,36,876981.0,67,819964.0
10,93,247891.5,93,247891.5,93,247891.5
11,4,492921.00000000006,4,492921.00000000006,0,1452513.142857143
12,0,1452513.142857143,0,1452513.142857143,4,492921.00000000006
13,92,349707.0,92,349707.0,92,349707.0
14,9,133495.0,9,133495.0,9,133495.0
15,91,482217.99999999994,91,482217.99999999994,1,1290847.0
16,11,237318.00000000003,11,237318.00000000003,91,482217.99999999994
17,90,481993.5,90,481993.5,11,237318.00000000003
18,10,136004.0,10,136004.0,36,876981.0
19,89,404845.0,2,1129496.0,90,481993.5
20,66,1174748.5,88,224858.0,10,136004.0
21,3,948003.0,16,57298.6,88,224858.0
22,16,57298.6,89,404845.0,16,57298.6
23,88,224858.0,8,339668.0,2,1129496.0
24,8,339668.0,81,211852.0,89,404845.0
25,87,374847.0,87,374847.0,8,339668.0
26,85,374938.0,21,172086.5,81,211852.0
27,6,272660.0,6,272660.0,87,374847.0
28,21,172086.5,80,263555.0,21,172086.5
29,81,211852.0,85,374938.0,80,263555.0
30,84,420011.0,37,489903.5,15,98773.0
31,15,98773.0,15,98773.0,85,374938.0
32,80,263555.0,75,261755.99999999997,6,272660.0
33,79,115491.5,84,420011.0,75,261755.99999999997
34,7,192477.0,7,192477.0,84,420011.0
35,77,489801.0,79,115491.5,7,192477.0
36,5,329055.5,26,27122.0,72,295182.5
37,75,261755.99999999997,72,295182.5,79,115491.5
38,17,87667.0,17,87667.0,17,87667.0
39,86,199330.0,77,489801.0,26,27122.0
