VarTGP,VarGP,ExactGP,Dataset,Prior
0.16811457,0.12822525,0.17083481,AgNP_dataset.csv,LogNormalDimScaling
0.33308378,0.21226507,0.10948642,AutoAM_dataset.csv,LogNormalDimScaling
0.27655128,0.25325936,0.2099246,CrossedBarrel_dataset.csv,LogNormalDimScaling
0.32793504,0.301663,0.3067218,P3HT_dataset.csv,LogNormalDimScaling
1.139707,0.96478164,1.0144439,Perovskite_dataset.csv,LogNormalDimScaling
0.16184346,0.12582451,0.13099356,AgNP_dataset.csv,LogNormal
0.29772452,0.21963151,0.10948642,AutoAM_dataset.csv,LogNormal
0.276557,0.2531472,0.21829803,CrossedBarrel_dataset.csv,LogNormal
0.33308342,0.304796,0.30711257,P3HT_dataset.csv,LogNormal
1.1338989,0.9638836,1.0144441,Perovskite_dataset.csv,LogNormal
0.56617904,0.48575574,0.17087215,AgNP_dataset.csv,Gamma
0.30484474,0.32519233,0.10948642,AutoAM_dataset.csv,Gamma
0.5147135,0.49447346,0.23013704,CrossedBarrel_dataset.csv,Gamma
0.3354875,0.31463644,0.30655602,P3HT_dataset.csv,Gamma
1.1886299,1.077162,1.0144459,Perovskite_dataset.csv,Gamma
0.18822433,0.13945845,0.11609381,AgNP_dataset.csv,NormalPrior
0.3314476,0.20648146,0.10948642,AutoAM_dataset.csv,NormalPrior
0.27285007,0.25338656,0.22627918,CrossedBarrel_dataset.csv,NormalPrior
0.3308309,0.2947156,0.306724,P3HT_dataset.csv,NormalPrior
1.1329068,0.9893682,1.014444,Perovskite_dataset.csv,NormalPrior
