,seed_45,seed_45,seed_359,seed_359,seed_6185,seed_6185
,x_index,y_value,x_index,y_value,x_index,y_value
iteration,,,,,,
0,1,0.7932676824166668,15,0.7766893481666668,53,0.6880389906470589
1,146,0.6500892783043477,59,0.5535505972500001,48,0.6487924139090908
2,98,0.6439510115263157,159,0.7688874980909094,159,0.7688874980909094
3,19,0.8370579595600001,16,0.8599858621739132,3,0.9052872549444445
4,18,0.8045249524499999,30,0.781666019916667,46,0.6806661458571429
5,64,0.5320300310714287,69,0.5903090355454546,159,0.7688874980909094
6,146,0.6500892783043477,48,0.6487924139090908,39,0.6874734591538462
7,93,0.6239761509090909,1,0.7932676824166668,17,0.794159052388889
8,69,0.5903090355454546,9,0.80354239425,24,0.7406017505714286
9,48,0.6487924139090908,53,0.6880389906470589,53,0.6880389906470589
10,72,0.4475722370555556,67,0.5216947676842105,61,0.6578517874285715
11,57,0.386029669090909,75,0.40199493405,78,0.5032295840869566
12,63,0.37710491204761903,58,0.2950733712105263,80,0.48570783966666675
13,92,0.25785831434782613,31,0.5242078697058822,87,0.4560652887272728
14,128,0.17184680305555555,47,0.3511082058181818,130,0.24077879918181821
15,163,0.6966646852083334,91,0.6289150216363637,140,0.1890819085263158
16,140,0.1890819085263158,45,0.5417087933749999,163,0.6966646852083334
17,101,0.3488730719545455,74,0.38138205354545446,145,0.2819088564347826
18,36,0.6929108404210527,101,0.3488730719545455,128,0.17184680305555555
19,162,0.23258893759090907,141,0.14836082,148,0.2723792166818182
20,154,0.30436769968181826,161,0.3667085974347825,88,0.6006616400833334
21,156,0.5868745745238095,134,0.3208749989565217,146,0.6500892783043477
22,0,0.8759571206923075,143,0.17529220813333335,60,0.6090353811428573
23,160,0.16934019039999998,162,0.23258893759090907,126,0.3985970800434782
24,161,0.3667085974347825,146,0.6500892783043477,8,0.7529315254285714
25,138,0.46941368304545456,41,0.3837485187142856,138,0.46941368304545456
26,147,0.5661402866956522,3,0.9052872549444445,16,0.8599858621739132
27,41,0.3837485187142856,147,0.5661402866956522,137,0.5985696733181819
28,35,0.7521751245384615,154,0.30436769968181826,41,0.3837485187142856
29,124,0.34367546099999996,163,0.6966646852083334,154,0.30436769968181826
30,117,0.32687913409090913,124,0.34367546099999996,147,0.5661402866956522
31,10,0.8578860624705882,132,0.334014607,2,0.9017786111666667
32,3,0.9052872549444445,160,0.16934019039999998,92,0.25785831434782613
33,127,0.7967226404285713,2,0.9017786111666667,160,0.16934019039999998
34,46,0.6806661458571429,138,0.46941368304545456,0,0.8759571206923075
35,38,0.4971227617619048,92,0.25785831434782613,101,0.3488730719545455
36,148,0.2723792166818182,38,0.4971227617619048,12,0.8356800520625001
37,16,0.8599858621739132,35,0.7521751245384615,13,0.7081775553636362
38,50,0.6911326892941176,12,0.8356800520625001,21,0.59228063675
39,137,0.5985696733181819,150,0.40333295486363635,162,0.23258893759090907
