,seed_45,seed_45,seed_359,seed_359,seed_6185,seed_6185
,x_index,y_value,x_index,y_value,x_index,y_value
iteration,,,,,,
0,7,0.0,72,0.619629,52,0.225159
1,90,0.581536,10,0.368919,44,0.595148
2,52,0.225159,77,0.606331,70,0.231671
3,47,0.0,5,0.506045,0,0.13848
4,87,0.218576,97,0.394429,10,0.368919
5,55,0.420117,70,0.231671,94,0.0
6,11,0.339554,6,0.521209,66,0.0
7,4,0.444846,47,0.0,82,0.05735
8,70,0.231671,9,0.142527,50,0.0
9,54,0.0,80,0.47378,6,0.521209
10,76,0.645276,69,0.655095,37,0.760199
11,73,0.687847,68,0.553297,38,0.73516
12,71,0.669569,67,0.558344,34,0.757861
13,68,0.553297,71,0.669569,31,0.746997
14,74,0.658964,62,0.6771,33,0.725884
15,72,0.619629,45,0.456972,32,0.724231
16,75,0.644678,73,0.687847,36,0.727446
17,78,0.590437,74,0.658964,42,0.68768
18,69,0.655095,76,0.645276,28,0.797176
19,77,0.606331,75,0.644678,26,0.839722
20,86,0.638409,78,0.590437,24,0.857797
21,88,0.64553,63,0.673479,23,0.87748
22,91,0.625649,65,0.557771,21,0.904846
23,80,0.47378,49,0.368797,13,0.936549
24,92,0.665694,64,0.427846,15,0.92212
25,96,0.641716,89,0.528122,18,0.932613
26,95,0.649364,52,0.225159,17,0.902128
27,64,0.427846,91,0.625649,20,0.899917
28,97,0.394429,95,0.649364,19,0.869142
29,84,0.397736,96,0.641716,14,0.901296
