,seed_45,seed_45,seed_359,seed_359,seed_6185,seed_6185
,x_index,y_value,x_index,y_value,x_index,y_value
iteration,,,,,,
0,65,0.557771,49,0.368797,66,0.0
1,66,0.0,79,0.0,50,0.0
2,89,0.528122,98,0.0,82,0.05735
3,53,0.0,66,0.0,48,0.276438
4,10,0.368919,50,0.0,61,0.0
5,87,0.218576,87,0.218576,98,0.0
6,85,0.0,66,0.0,66,0.0
7,68,0.553297,11,0.339554,49,0.368797
8,66,0.0,49,0.368797,65,0.557771
9,78,0.590437,66,0.0,66,0.0
10,73,0.687847,44,0.595148,64,0.427846
11,76,0.645276,40,0.741053,58,0.829756
12,72,0.619629,37,0.760199,18,0.932613
13,71,0.669569,38,0.73516,17,0.902128
14,88,0.64553,34,0.757861,19,0.869142
15,86,0.638409,42,0.68768,16,0.88388
16,90,0.581536,33,0.725884,43,0.681477
17,77,0.606331,32,0.724231,15,0.92212
18,84,0.397736,31,0.746997,14,0.901296
19,69,0.655095,36,0.727446,13,0.936549
20,74,0.658964,39,0.735191,6,0.521209
21,62,0.6771,35,0.775094,21,0.904846
22,67,0.558344,30,0.691636,20,0.899917
23,45,0.456972,29,0.733492,23,0.87748
24,75,0.644678,41,0.696129,24,0.857797
25,92,0.665694,43,0.681477,25,0.832971
26,96,0.641716,28,0.797176,30,0.691636
27,91,0.625649,27,0.825486,22,0.820774
28,95,0.649364,22,0.820774,26,0.839722
29,81,0.544579,20,0.899917,11,0.339554
30,97,0.394429,21,0.904846,3,0.529015
31,64,0.427846,13,0.936549,27,0.825486
32,80,0.47378,3,0.529015,28,0.797176
33,63,0.673479,19,0.869142,41,0.696129
34,60,0.624609,17,0.902128,0,0.13848
35,49,0.368797,18,0.932613,32,0.724231
36,58,0.829756,16,0.88388,52,0.225159
37,20,0.899917,15,0.92212,33,0.725884
38,13,0.936549,14,0.901296,31,0.746997
39,14,0.901296,58,0.829756,42,0.68768
