,seed_45,seed_45,seed_359,seed_359,seed_6185,seed_6185
,x_index,y_value,x_index,y_value,x_index,y_value
iteration,,,,,,
0,126,63.81,44,153.3649441,132,7.2
1,122,41.89833748,7,8.725,150,11.15
2,45,14.99,132,7.2,174,9.71
3,151,18.25,160,14.475000000000001,171,13.99
4,38,2.740952014,172,7.08,7,8.725
5,12,18.43,143,13.46,14,37.09
6,158,16.66,135,7.25,169,6.25
7,165,7.85,147,9.895,45,14.99
8,14,37.09,163,24.01,2,20.03
9,67,135.2652427,161,16.69,25,44.1
10,13,215.37,13,215.37,30,738.6628862
11,107,12.19,107,12.19,47,325.42
12,6,17.89,0,45.97,137,215.93
13,19,328.33831735,47,325.42,13,215.37
14,25,44.1,131,204.41500000000002,17,226.25
15,30,738.6628862,6,17.89,134,49.98
16,15,15.559999999999999,30,738.6628862,0,45.97
17,0,45.97,137,215.93,6,17.89
18,17,226.25,120,588.4649999999999,119,33.44
19,33,703.3133333333334,15,15.559999999999999,120,588.4649999999999
20,120,588.4649999999999,17,226.25,61,45.53
21,134,49.98,61,45.53,15,15.559999999999999
22,8,7.96,122,41.89833748,108,140.7
23,136,13.19,12,18.43,16,258.435
24,119,33.44,62,14.855,12,18.43
25,1,16.905,1,16.905,33,703.3133333333334
26,16,258.435,138,4.56,103,271.56
27,108,140.7,87,326.54,8,7.96
28,62,14.855,119,33.44,135,7.25
29,176,26.19,16,258.435,1,16.905
