,seed_45,seed_45,seed_359,seed_359,seed_6185,seed_6185
,x_index,y_value,x_index,y_value,x_index,y_value
iteration,,,,,,
0,11,34.35,59,117.42,10,13.25
1,11,34.35,6,17.89,99,117.30499999999999
2,107,12.19,132,7.2,133,7.58
3,12,18.43,43,26.57,6,17.89
4,8,7.96,43,26.57,6,17.89
5,59,117.42,107,12.19,62,14.855
6,11,34.35,59,117.42,117,11.44
7,112,76.51244504,8,7.96,59,117.42
8,11,34.35,59,117.42,11,34.35
9,99,117.30499999999999,12,18.43,43,26.57
10,177,6.99,30,738.6628862,30,738.6628862
11,0,45.97,137,215.93,137,215.93
12,30,738.6628862,13,215.37,13,215.37
13,137,215.93,24,636.48,164,199.1
14,13,215.37,0,45.97,0,45.97
15,119,33.44,164,199.1,24,636.48
16,164,199.1,15,15.559999999999999,129,411.82
17,15,15.559999999999999,176,26.19,108,140.7
18,24,636.48,131,204.41500000000002,58,543.75
19,136,13.19,94,716.395,47,325.42
20,62,14.855,47,325.42,161,16.69
21,47,325.42,33,703.3133333333334,122,41.89833748
22,25,44.1,122,41.89833748,25,44.1
23,145,39.11,62,14.855,177,6.99
24,128,233.89,134,49.98,15,15.559999999999999
25,94,716.395,18,382.45,17,226.25
26,122,41.89833748,108,140.7,145,39.11
27,33,703.3133333333334,120,588.4649999999999,1,16.905
28,17,226.25,138,4.56,16,258.435
29,141,11.47,1,16.905,120,588.4649999999999
30,14,37.09,55,17.35,14,37.09
31,19,328.33831735,87,326.54,135,7.25
32,120,588.4649999999999,136,13.19,8,7.96
33,135,7.25,119,33.44,136,13.19
34,1,16.905,4,14.08,3,14.78
35,61,45.53,17,226.25,55,17.35
36,16,258.435,14,37.09,87,326.54
37,6,17.89,16,258.435,134,49.98
38,132,7.2,11,34.35,103,271.56
39,108,140.7,175,6.44,33,703.3133333333334
