,seed_45,seed_45,seed_359,seed_359,seed_6185,seed_6185
,x_index,y_value,x_index,y_value,x_index,y_value
iteration,,,,,,
0,65,0.557771,49,0.368797,66,0.0
1,66,0.0,79,0.0,50,0.0
2,89,0.528122,98,0.0,82,0.05735
3,53,0.0,66,0.0,48,0.276438
4,10,0.368919,50,0.0,61,0.0
5,87,0.218576,87,0.218576,98,0.0
6,85,0.0,66,0.0,66,0.0
7,68,0.553297,11,0.339554,49,0.368797
8,66,0.0,49,0.368797,65,0.557771
9,78,0.590437,66,0.0,66,0.0
10,73,0.687847,44,0.595148,63,0.673479
11,76,0.645276,40,0.741053,59,0.65301
12,74,0.658964,37,0.760199,58,0.829756
13,72,0.619629,38,0.73516,18,0.932613
14,71,0.669569,35,0.775094,16,0.88388
15,69,0.655095,34,0.757861,17,0.902128
16,67,0.558344,31,0.746997,19,0.869142
17,88,0.64553,33,0.725884,43,0.681477
18,86,0.638409,42,0.68768,15,0.92212
19,91,0.625649,32,0.724231,14,0.901296
20,90,0.581536,39,0.735191,13,0.936549
21,92,0.665694,36,0.727446,41,0.696129
22,75,0.644678,29,0.733492,6,0.521209
23,95,0.649364,30,0.691636,21,0.904846
24,96,0.641716,41,0.696129,20,0.899917
25,62,0.6771,43,0.681477,3,0.529015
26,45,0.456972,28,0.797176,23,0.87748
27,97,0.394429,27,0.825486,24,0.857797
28,77,0.606331,26,0.839722,25,0.832971
29,80,0.47378,25,0.832971,22,0.820774
30,64,0.427846,24,0.857797,26,0.839722
31,63,0.673479,23,0.87748,27,0.825486
32,43,0.681477,21,0.904846,28,0.797176
33,17,0.902128,13,0.936549,30,0.691636
34,18,0.932613,14,0.901296,32,0.724231
35,19,0.869142,15,0.92212,37,0.760199
36,16,0.88388,18,0.932613,40,0.741053
37,15,0.92212,17,0.902128,44,0.595148
38,14,0.901296,19,0.869142,33,0.725884
39,13,0.936549,16,0.88388,31,0.746997
