,seed_45,seed_45,seed_359,seed_359,seed_6185,seed_6185
,x_index,y_value,x_index,y_value,x_index,y_value
iteration,,,,,,
0,11,34.35,59,117.42,10,13.25
1,11,34.35,6,17.89,99,117.30499999999999
2,107,12.19,132,7.2,133,7.58
3,12,18.43,43,26.57,6,17.89
4,8,7.96,43,26.57,6,17.89
5,59,117.42,107,12.19,62,14.855
6,11,34.35,59,117.42,117,11.44
7,112,76.51244504,8,7.96,59,117.42
8,11,34.35,59,117.42,11,34.35
9,99,117.30499999999999,12,18.43,43,26.57
10,41,281.68,102,212.66,95,184.69
11,28,390.2707837,121,47.22,87,326.54
12,46,240.44,79,331.17,63,395.74
13,24,636.48,51,297.95,82,322.6997586
14,26,687.78,47,325.42,48,111.8949727
15,22,697.4,100,283.86,76,454.385
16,20,398.5758253,103,271.56,50,200.7545831
17,29,419.51,118,537.77,37,696.39
18,23,424.1973941,112,76.51244504,56,195.35333333333332
19,19,328.33831735,128,233.89,28,390.2707837
20,39,214.93,123,83.28491341,60,249.755
21,18,382.45,109,192.74,40,278.51
22,21,405.26,125,36.88,66,312.65
23,32,770.35,75,356.76,35,160.6199195
24,30,738.6628862,114,374.29,39,214.93
25,33,703.3133333333334,16,258.435,80,328.45
26,53,649.9485714285714,19,328.33831735,71,259.11
27,35,160.6199195,20,398.5758253,64,328.21
28,58,543.75,23,424.1973941,70,286.105
29,42,696.0575,22,697.4,77,838.31
30,36,162.7067112,24,636.48,53,649.9485714285714
31,77,838.31,26,687.78,32,770.35
32,89,433.78,35,160.6199195,30,738.6628862
33,70,286.105,29,419.51,33,703.3133333333334
34,78,540.19,21,405.26,58,543.75
35,83,325.56,27,219.255,42,696.0575
36,66,312.65,39,214.93,36,162.7067112
37,86,226.22,18,382.45,86,226.22
38,34,293.93,31,406.47,89,433.78
39,85,336.24,53,649.9485714285714,83,325.56
