,seed_45,seed_45,seed_359,seed_359,seed_6185,seed_6185
,x_index,y_value,x_index,y_value,x_index,y_value
iteration,,,,,,
0,51,794499.0,3,948003.0,37,489903.5
1,49,437082.00000000006,74,548909.0,44,449878.0
2,76,286563.0,51,794499.0,66,1174748.5
3,2,1129496.0,67,819964.0,38,443643.0
4,37,489903.5,38,443643.0,52,701140.0
5,70,269180.0,66,1174748.5,51,794499.0
6,36,876981.0,58,263021.5,67,819964.0
7,58,263021.5,1,1290847.0,3,948003.0
8,1,1290847.0,38,443643.0,37,489903.5
9,44,449878.0,36,876981.0,67,819964.0
10,72,295182.5,56,343647.0,33,299002.0
11,71,225170.0,57,132641.0,32,123157.00000000001
12,69,318600.0,60,207474.0,34,38893.0
13,75,261755.99999999997,62,132665.0,30,91681.0
14,81,211852.0,61,120257.0,16,57298.6
15,80,263555.0,64,300244.0,9,133495.0
16,88,224858.0,54,40621.0,21,172086.5
17,92,349707.0,53,383479.00000000006,11,237318.00000000003
18,73,476196.99999999994,59,180293.0,28,221696.0
19,83,228347.0,50,266660.5,10,136004.0
20,91,482217.99999999994,63,252077.0,4,492921.00000000006
21,68,328254.5,44,449878.0,26,27122.0
22,82,234879.00000000003,65,206695.0,41,163627.0
23,86,199330.0,68,328254.5,23,227835.0
24,85,374938.0,46,163985.0,20,284939.0
25,74,548909.0,41,163627.0,17,87667.0
26,93,247891.5,34,38893.0,15,98773.0
27,90,481993.5,28,221696.0,22,72999.75
28,89,404845.0,30,91681.0,8,339668.0
29,65,206695.0,16,57298.6,54,40621.0
30,64,300244.0,11,237318.00000000003,57,132641.0
31,63,252077.0,21,172086.5,58,263021.5
32,62,132665.0,9,133495.0,46,163985.0
33,61,120257.0,4,492921.00000000006,50,266660.5
34,60,207474.0,26,27122.0,53,383479.00000000006
35,57,132641.0,10,136004.0,25,147202.0
36,54,40621.0,20,284939.0,7,192477.0
37,30,91681.0,15,98773.0,24,140574.0
38,11,237318.00000000003,23,227835.0,13,239057.0
39,16,57298.6,17,87667.0,40,96638.0
