,seed_45,seed_45,seed_359,seed_359,seed_6185,seed_6185
,x_index,y_value,x_index,y_value,x_index,y_value
iteration,,,,,,
0,7,0.0,72,0.619629,52,0.225159
1,90,0.581536,10,0.368919,44,0.595148
2,52,0.225159,77,0.606331,70,0.231671
3,47,0.0,5,0.506045,0,0.13848
4,87,0.218576,97,0.394429,10,0.368919
5,55,0.420117,70,0.231671,94,0.0
6,11,0.339554,6,0.521209,66,0.0
7,4,0.444846,47,0.0,82,0.05735
8,70,0.231671,9,0.142527,50,0.0
9,54,0.0,80,0.47378,6,0.521209
10,91,0.625649,69,0.655095,40,0.741053
11,92,0.665694,68,0.553297,37,0.760199
12,96,0.641716,62,0.6771,38,0.73516
13,95,0.649364,67,0.558344,34,0.757861
14,78,0.590437,45,0.456972,31,0.746997
15,76,0.645276,71,0.669569,33,0.725884
16,73,0.687847,73,0.687847,32,0.724231
17,74,0.658964,74,0.658964,36,0.727446
18,71,0.669569,76,0.645276,28,0.797176
19,86,0.638409,75,0.644678,27,0.825486
20,88,0.64553,78,0.590437,26,0.839722
21,68,0.553297,64,0.427846,25,0.832971
22,75,0.644678,91,0.625649,24,0.857797
23,72,0.619629,92,0.665694,23,0.87748
24,69,0.655095,96,0.641716,21,0.904846
25,77,0.606331,95,0.649364,15,0.92212
26,80,0.47378,90,0.581536,13,0.936549
27,64,0.427846,86,0.638409,18,0.932613
28,97,0.394429,88,0.64553,17,0.902128
29,62,0.6771,89,0.528122,19,0.869142
