,seed_45,seed_45,seed_359,seed_359,seed_6185,seed_6185
,x_index,y_value,x_index,y_value,x_index,y_value
iteration,,,,,,
0,65,0.557771,49,0.368797,66,0.0
1,66,0.0,79,0.0,50,0.0
2,89,0.528122,98,0.0,82,0.05735
3,53,0.0,66,0.0,48,0.276438
4,10,0.368919,50,0.0,61,0.0
5,87,0.218576,87,0.218576,98,0.0
6,85,0.0,66,0.0,66,0.0
7,68,0.553297,11,0.339554,49,0.368797
8,66,0.0,49,0.368797,65,0.557771
9,78,0.590437,66,0.0,66,0.0
10,73,0.687847,44,0.595148,63,0.673479
11,76,0.645276,40,0.741053,59,0.65301
12,71,0.669569,37,0.760199,62,0.6771
13,72,0.619629,38,0.73516,69,0.655095
14,74,0.658964,34,0.757861,45,0.456972
15,69,0.655095,31,0.746997,71,0.669569
16,67,0.558344,32,0.724231,76,0.645276
17,91,0.625649,42,0.68768,73,0.687847
18,88,0.64553,33,0.725884,74,0.658964
19,86,0.638409,35,0.775094,75,0.644678
20,90,0.581536,39,0.735191,72,0.619629
21,92,0.665694,36,0.727446,92,0.665694
22,75,0.644678,29,0.733492,88,0.64553
23,95,0.649364,30,0.691636,90,0.581536
24,96,0.641716,41,0.696129,96,0.641716
25,97,0.394429,43,0.681477,95,0.649364
26,62,0.6771,28,0.797176,91,0.625649
27,45,0.456972,27,0.825486,86,0.638409
28,80,0.47378,26,0.839722,78,0.590437
29,64,0.427846,25,0.832971,68,0.553297
30,63,0.673479,24,0.857797,80,0.47378
31,59,0.65301,23,0.87748,89,0.528122
32,41,0.696129,13,0.936549,43,0.681477
33,30,0.691636,14,0.901296,17,0.902128
34,23,0.87748,15,0.92212,19,0.869142
35,24,0.857797,18,0.932613,18,0.932613
36,25,0.832971,17,0.902128,16,0.88388
37,42,0.68768,20,0.899917,41,0.696129
38,21,0.904846,19,0.869142,15,0.92212
39,3,0.529015,3,0.529015,14,0.901296
