,seed_45,seed_45,seed_359,seed_359,seed_6185,seed_6185
,x_index,y_value,x_index,y_value,x_index,y_value
iteration,,,,,,
0,126,63.81,44,153.3649441,132,7.2
1,122,41.89833748,7,8.725,150,11.15
2,45,14.99,132,7.2,174,9.71
3,151,18.25,160,14.475000000000001,171,13.99
4,38,2.740952014,172,7.08,7,8.725
5,12,18.43,143,13.46,14,37.09
6,158,16.66,135,7.25,169,6.25
7,165,7.85,147,9.895,45,14.99
8,14,37.09,163,24.01,2,20.03
9,67,135.2652427,161,16.69,25,44.1
10,34,293.93,73,545.18,108,140.7
11,42,696.0575,86,226.22,107,12.19
12,32,770.35,53,649.9485714285714,13,215.37
13,30,738.6628862,33,703.3133333333334,0,45.97
14,33,703.3133333333334,32,770.35,32,770.35
15,53,649.9485714285714,30,738.6628862,33,703.3133333333334
16,58,543.75,35,160.6199195,30,738.6628862
17,35,160.6199195,58,543.75,53,649.9485714285714
18,36,162.7067112,42,696.0575,35,160.6199195
19,89,433.78,36,162.7067112,58,543.75
20,86,226.22,89,433.78,42,696.0575
21,77,838.31,77,838.31,36,162.7067112
22,83,325.56,83,325.56,89,433.78
23,85,336.24,85,336.24,86,226.22
24,94,716.395,94,716.395,77,838.31
25,78,540.19,70,286.105,83,325.56
26,70,286.105,78,540.19,85,336.24
27,88,618.72,88,618.72,94,716.395
28,90,484.36,90,484.36,78,540.19
29,81,348.88,81,348.88,70,286.105
