,seed_45,seed_45,seed_359,seed_359,seed_6185,seed_6185
,x_index,y_value,x_index,y_value,x_index,y_value
iteration,,,,,,
0,11,34.35,59,117.42,10,13.25
1,11,34.35,6,17.89,99,117.30499999999999
2,107,12.19,132,7.2,133,7.58
3,12,18.43,43,26.57,6,17.89
4,8,7.96,43,26.57,6,17.89
5,59,117.42,107,12.19,62,14.855
6,11,34.35,59,117.42,117,11.44
7,112,76.51244504,8,7.96,59,117.42
8,11,34.35,59,117.42,11,34.35
9,99,117.30499999999999,12,18.43,43,26.57
10,41,281.68,102,212.66,95,184.69
11,28,390.2707837,98,233.43,63,395.74
12,26,687.78,115,302.25,76,454.385
13,35,160.6199195,120,588.4649999999999,80,328.45
14,22,697.4,121,47.22,37,696.39
15,24,636.48,116,545.78,29,419.51
16,29,419.51,114,374.29,41,281.68
17,23,424.1973941,113,540.19,67,135.2652427
18,20,398.5758253,118,537.77,22,697.4
19,39,214.93,123,83.28491341,24,636.48
20,21,405.26,111,203.82,26,687.78
21,19,328.33831735,110,608.1,20,398.5758253
22,27,219.255,109,192.74,39,214.93
23,37,696.39,105,554.41,23,424.1973941
24,60,249.755,106,293.6,19,328.33831735
25,18,382.45,96,619.9000000000001,46,240.44
26,46,240.44,94,716.395,21,405.26
27,44,153.3649441,89,433.78,27,219.255
28,40,278.51,86,226.22,28,390.2707837
29,17,226.25,91,584.89,60,249.755
30,57,289.72,85,336.24,44,153.3649441
31,56,195.35333333333332,90,484.36,56,195.35333333333332
32,67,135.2652427,88,618.72,18,382.45
33,16,258.435,53,649.9485714285714,16,258.435
34,31,406.47,33,703.3133333333334,57,289.72
35,34,293.93,30,738.6628862,40,278.51
36,36,162.7067112,32,770.35,66,312.65
37,48,111.8949727,58,543.75,35,160.6199195
38,157,5.09,35,160.6199195,71,259.11
39,66,312.65,83,325.56,92,608.87
