VarTGP,VarGP,ExactGP,Dataset,Prior,Epochs
0.18779926,0.11934377,0.115784064,AgNP_dataset.csv,LogNormalDimScaling,200
0.16085789,0.11307541,0.11603571,AgNP_dataset.csv,LogNormalDimScaling,400
0.16183011,0.11163576,0.12587652,AgNP_dataset.csv,LogNormalDimScaling,600
0.14918393,0.11068717,0.14689212,AgNP_dataset.csv,LogNormalDimScaling,800
0.15122542,0.110742845,0.11597039,AgNP_dataset.csv,LogNormalDimScaling,1000
0.2779394,0.2156584,0.10948642,AutoAM_dataset.csv,LogNormalDimScaling,200
0.2584881,0.19921343,0.10948642,AutoAM_dataset.csv,LogNormalDimScaling,400
0.27146176,0.18049335,0.10948642,AutoAM_dataset.csv,LogNormalDimScaling,600
0.25881976,0.16764684,0.10948642,AutoAM_dataset.csv,LogNormalDimScaling,800
0.2688965,0.15971868,0.10948642,AutoAM_dataset.csv,LogNormalDimScaling,1000
0.27336568,0.2392105,0.20760603,CrossedBarrel_dataset.csv,LogNormalDimScaling,200
0.27175835,0.22422023,0.20760669,CrossedBarrel_dataset.csv,LogNormalDimScaling,400
0.27212027,0.21549937,0.21292983,CrossedBarrel_dataset.csv,LogNormalDimScaling,600
0.26880586,0.21067402,0.2076067,CrossedBarrel_dataset.csv,LogNormalDimScaling,800
0.26637006,0.20773862,0.25083667,CrossedBarrel_dataset.csv,LogNormalDimScaling,1000
0.32855263,0.30231538,0.30672017,P3HT_dataset.csv,LogNormalDimScaling,200
0.3304723,0.30399817,0.30672467,P3HT_dataset.csv,LogNormalDimScaling,400
0.3313855,0.3104483,0.3067231,P3HT_dataset.csv,LogNormalDimScaling,600
0.32938433,0.31082842,0.306944,P3HT_dataset.csv,LogNormalDimScaling,800
0.3305098,0.31155095,0.3067221,P3HT_dataset.csv,LogNormalDimScaling,1000
1.1167859,0.9604258,1.0232533,Perovskite_dataset.csv,LogNormalDimScaling,200
1.1265831,0.96343046,1.0140675,Perovskite_dataset.csv,LogNormalDimScaling,400
1.1442931,0.96744806,1.014435,Perovskite_dataset.csv,LogNormalDimScaling,600
1.1373174,0.970726,1.0144451,Perovskite_dataset.csv,LogNormalDimScaling,800
1.152944,0.97423947,1.0144459,Perovskite_dataset.csv,LogNormalDimScaling,1000
